Make,Model,Year,Fuel Type,MPG Data,Combined Mpg For Fuel Type1,Co2  Tailpipe For Fuel Type1,Engine displacement
Honda,Accord,2012,Regular,Y,27,329.14814814814815,2.4
Jeep,Compass 4WD,2012,Regular,Y,23,386.39130434782606,2.4
Nissan,Pathfinder 2WD,2013,Regular,Y,22,406.0,3.5
BMW,535d,2015,Diesel,Y,30,334.0,3.0
Chevrolet,Cruze,2018,Diesel,Y,37,276.0,1.6
Jeep,Renegade 4WD,2019,Regular,Y,24,371.0,2.4
Hyundai,Tucson AWD,2022,Regular,Y,26,349.0,2.5
Volvo,C70 Convertible,2000,Premium,Y,20,444.35,2.3
Dodge,Dakota Pickup 4WD,2003,Regular,Y,15,592.4666666666667,4.7
Scion,xB,2006,Regular,Y,28,317.39285714285717,1.5
Chevrolet,HHR FWD,2006,Regular,Y,22,403.95454545454544,2.4
Mitsubishi,Outlander 2WD,2006,Regular,Y,21,423.1904761904762,2.4
Chevrolet,Silverado C15 2WD,2008,Regular,Y,17,522.7647058823529,4.3
Saab,9-7X AWD,2008,Regular,Y,16,555.4375,5.3
BMW,X3 xDrive30i,2021,Premium,Y,25,351.0,2.0
Tesla,Model 3 Standard Range Plus RWD,2021,Electricity,Y,142,0.0,
Polestar,2 Single Motor,2022,Electricity,Y,107,0.0,
GMC,Sierra C15 2WD,2011,Gasoline or E85,Y,16,555.4375,4.8
Dodge,Avenger,2011,Gasoline or E85,Y,22,403.95454545454544,3.6
Volkswagen,GTI,2012,Premium,Y,27,329.14814814814815,2.0
Kia,Forte Koup,2012,Regular,Y,28,317.39285714285717,2.0
Toyota,Avalon,2012,Regular,Y,22,403.95454545454544,3.5
Hyundai,Elantra Blue,2013,Regular,Y,32,285.0,1.8
Mazda,CX-5 2WD,2014,Regular,Y,27,328.0,2.5
Volkswagen,GTI,2014,Premium,Y,25,361.0,2.0
Honda,Civic 5Dr Sport,2018,Premium,Y,32,274.0,1.5
Porsche,Cayman,2017,Premium,Y,25,353.0,2.0
Chevrolet,S10 Pickup 2WD,2002,Regular,Y,16,555.4375,4.3
Mercury,Grand Marquis,2005,Regular,Y,19,467.7368421052632,4.6
Saturn,Vue FWD,2005,Regular,Y,20,444.35,3.5
BMW,Z4 3.0i,2006,Premium,Y,21,423.1904761904762,3.0
Subaru,Forester AWD,2007,Premium,Y,20,444.35,2.5
Lexus,IS F,2008,Premium,Y,18,493.72222222222223,5.0
Lexus,ES 300,2000,Regular,Y,20,444.35,3.0
Toyota,Echo,2000,Regular,Y,32,277.71875,1.5
Suzuki,Forenza Wagon,2005,Regular,Y,21,423.1904761904762,2.0
BMW,325ci,2001,Premium,Y,20,444.35,2.5
Toyota,Sienna 2WD,2002,Regular,Y,19,467.7368421052632,3.0
Toyota,Corolla,2005,Regular,Y,29,306.44827586206895,1.8
Volkswagen,Golf,2005,Diesel,Y,35,290.85714285714283,1.9
Ford,Escape Hybrid 4WD,2005,Regular,Y,27,329.14814814814815,2.3
Ford,Fusion FWD,2009,Regular,Y,23,386.39130434782606,2.3
Porsche,Macan,2018,Premium,Y,22,399.0,2.0
GMC,Envoy XL 4WD,2004,Regular,Y,15,592.4666666666667,4.2
BMW,330ci,2005,Premium,Y,21,423.1904761904762,3.0
Subaru,Impreza Wagon/Outback SPT AWD,2005,Regular,Y,23,386.39130434782606,2.5
BMW,750li,2006,Premium,Y,18,493.72222222222223,4.8
Lincoln,Mark LT,2006,Regular,Y,15,592.4666666666667,5.4
Mercedes-Benz,C230 Kompressor,2003,Premium,Y,24,370.2916666666667,1.8
Toyota,Yaris,2010,Regular,Y,32,277.71875,1.5
Volkswagen,Routan,2012,Gasoline or E85,Y,20,444.35,3.6
Dodge,Challenger,2013,Premium,Y,18,495.0,5.7
Nissan,Frontier 2WD,2013,Regular,Y,18,492.0,4.0
Nissan,Frontier 4WD,2013,Regular,Y,17,515.0,4.0
Jeep,Patriot FWD,2014,Regular,Y,25,349.0,2.0
Dodge,Dart Aero,2015,Premium,Y,32,280.0,1.4
Kia,Forte 5,2016,Regular,Y,24,370.0,1.6
Mazda,5,2012,Regular,Y,24,370.2916666666667,2.5
Toyota,Highlander 2WD,2013,Regular,Y,20,437.0,3.5
Daewoo,Nubira,2000,Regular,Y,22,403.95454545454544,2.0
Volkswagen,Jetta Wagon,2002,Premium,Y,24,370.2916666666667,1.8
Volkswagen,Passat,2003,Premium,Y,22,403.95454545454544,1.8
BMW,745li,2003,Premium,Y,19,467.7368421052632,4.4
Toyota,RAV4 4WD,2003,Regular,Y,22,403.95454545454544,2.0
Toyota,Camry,2004,Regular,Y,21,423.1904761904762,3.3
MINI,Cooper S,2005,Premium,Y,24,370.2916666666667,1.6
Cadillac,DTS,2006,Regular,Y,18,493.72222222222223,4.6
Kia,EV6 Long Range RWD,2023,Electricity,Y,117,0.0,
Nissan,Versa,2011,Regular,Y,30,296.23333333333335,1.8
Volkswagen,Golf,2012,Diesel,Y,32,318.0,2.0
Honda,Fit,2013,Regular,Y,31,292.0,1.5
Mitsubishi,Montero Sport 2WD,2001,Regular,Y,18,493.72222222222223,3.0
Audi,A4 quattro,2003,Premium,Y,18,493.72222222222223,3.0
Volvo,V70 FWD,2007,Premium,Y,21,423.1904761904762,2.4
Ford,Mustang,2009,Regular,Y,18,493.72222222222223,4.6
Kia,Sorento FE AWD,2018,Regular,Y,21,434.0,3.3
Kia,Niro Electric,2022,Electricity,Y,112,0.0,
Acura,ZDX 4WD,2010,Premium,Y,19,467.7368421052632,3.7
Saab,9-2x Wagon AWD,2005,Regular,Y,23,386.39130434782606,2.5
Saturn,Relay AWD,2006,Regular,Y,17,522.7647058823529,3.5
Jeep,Wrangler 4WD,2000,Regular,Y,16,555.4375,2.5
Chevrolet,HHR FWD,2006,Regular,Y,23,386.39130434782606,2.2
Suzuki,Grand Vitara 4WD,2007,Regular,Y,18,493.72222222222223,2.7
Mercedes-Benz,E320 Bluetec,2007,Diesel,Y,26,391.53846153846155,3.0
Mitsubishi,Eclipse Spyder,2001,Regular,Y,23,386.39130434782606,2.4
BMW,530i,2002,Premium,Y,19,467.7368421052632,3.0
Ford,Ranger Pickup 4WD,2002,Regular,Y,15,592.4666666666667,4.0
BMW,M5,2003,Premium,Y,15,592.4666666666667,4.9
GMC,Terrain AWD,2013,Gasoline or E85,Y,23,381.0,2.4
Infiniti,QX60 AWD,2014,Premium,Y,21,414.0,3.5
Honda,Fit,2011,Regular,Y,31,286.6774193548387,1.5
Scion,xB,2015,Regular,Y,24,368.0,2.4
Honda,Civic Hybrid,2004,Regular,Y,41,216.7560975609756,1.3
MINI,Cooper S,2010,Premium,Y,27,329.14814814814815,1.6
Chevrolet,Equinox AWD,2018,Premium,Y,24,367.0,2.0
Chevrolet,Monte Carlo,2004,Premium,Y,20,444.35,3.8
Nissan,Maxima,2004,Regular,Y,21,423.1904761904762,3.5
GMC,Envoy XL 2WD,2005,Regular,Y,15,592.4666666666667,4.2
Chevrolet,Monte Carlo,2006,Gasoline or E85,Y,22,403.95454545454544,3.5
Nissan,Frontier V6 2WD,2007,Regular,Y,17,522.7647058823529,4.0
Toyota,FJ Cruiser 4WD,2008,Premium,Y,17,522.7647058823529,4.0
Lexus,IS 250,2008,Premium,Y,21,423.1904761904762,2.5
Chrysler,300/SRT-8,2009,Regular,Y,19,467.7368421052632,5.7
Fiat,500 Cabrio,2012,Premium,Y,29,306.44827586206895,1.4
Audi,A4,2013,Premium,Y,26,342.0,2.0
MINI,Cooper (3-doors),2014,Premium,Y,31,285.0,1.5
GMC,Sierra K15 4WD,2009,Regular,Y,16,555.4375,5.3
Toyota,Prius,2020,Regular,Y,52,169.0,1.8
Nissan,350z Roadster,2004,Premium,Y,20,444.35,3.5
Subaru,Outback Wagon AWD,2010,Regular,Y,24,370.2916666666667,2.5
Scion,tC,2011,Regular,Y,25,355.48,2.5
Chevrolet,Camaro,2012,Regular,Y,18,493.72222222222223,6.2
Ford,Focus FWD FFV,2013,Gasoline or E85,Y,30,292.0,2.0
Nissan,Versa,2013,Regular,Y,30,307.0,1.6
Porsche,Panamera Turbo,2015,Premium,Y,18,483.0,4.8
Nissan,Rogue FWD,2015,Regular,Y,28,317.0,2.5
Volkswagen,GTI,2003,Premium,Y,22,403.95454545454544,1.8
Ford,Ranger Pickup 4WD,2005,Regular,Y,16,555.4375,4.0
GMC,Canyon 4WD,2005,Regular,Y,18,493.72222222222223,3.5
Acura,MDX 4WD,2006,Premium,Y,17,522.7647058823529,3.5
Buick,Lucerne,2008,Regular,Y,18,493.72222222222223,4.6
Mazda,B4000 4WD,2008,Regular,Y,16,555.4375,4.0
Toyota,RAV4 2WD,2008,Regular,Y,22,403.95454545454544,3.5
Jeep,Compass 2WD,2008,Regular,Y,23,386.39130434782606,2.4
Subaru,Outback Wagon AWD,2009,Regular,Y,22,403.95454545454544,2.5
Dodge,Caliber,2009,Regular,Y,23,386.39130434782606,2.4
Dodge,Durango HEV,2009,Regular,Y,21,423.1904761904762,5.7
GMC,Terrain FWD,2010,Regular,Y,26,341.8076923076923,2.4
Nissan,Frontier V6 4WD,2000,Regular,Y,15,592.4666666666667,3.3
Chevrolet,Suburban 1500 4WD,2000,Regular,Y,13,683.6153846153846,5.3
Honda,Civic,2001,Regular,Y,31,286.6774193548387,1.7
Volkswagen,Jetta,2001,Premium,Y,22,403.95454545454544,1.8
Chrysler,Concorde,2001,Regular,Y,20,444.35,2.7
Mercedes-Benz,CL500,2002,Premium,Y,17,522.7647058823529,5.0
Nissan,Altima,2002,Regular,Y,19,467.7368421052632,3.5
Ford,Escape 4WD,2002,Regular,Y,18,493.72222222222223,3.0
Honda,Accord,2003,Regular,Y,26,341.8076923076923,2.4
Chrysler,Concorde/LHS,2003,Regular,Y,20,444.35,3.5
Chevrolet,S10 Pickup 2WD,2003,Regular,Y,18,493.72222222222223,4.3
GMC,Savana 1500/2500 2WD (Passenger),2002,Regular,Y,14,634.7857142857143,5.7
Mercedes-Benz,CLK320,2003,Premium,Y,20,444.35,3.2
Nissan,Frontier 2WD,2003,Regular,Y,19,467.7368421052632,2.4
GMC,Yukon XL 1500 AWD,2004,Regular,Y,13,683.6153846153846,6.0
Nissan,Armada 4WD,2005,Regular,Y,14,634.7857142857143,5.6
Subaru,Outback AWD,2013,Regular,Y,20,443.0,3.6
Ford,Explorer 2WD,2000,Regular,Y,18,493.72222222222223,4.0
Nissan,Frontier V6 4WD,2003,Premium,Y,15,592.4666666666667,3.3
Toyota,Tundra 2WD,2006,Regular,Y,18,493.72222222222223,4.0
Hyundai,Veracruz 4WD,2007,Regular,Y,18,493.72222222222223,3.8
Ford,F150 Pickup 2WD,2008,Regular,Y,14,634.7857142857143,5.4
Acura,TSX,2004,Premium,Y,22,403.95454545454544,2.4
Scion,xB,2005,Regular,Y,29,306.44827586206895,1.5
BMW,525i,2006,Premium,Y,21,423.1904761904762,3.0
Dodge,Neon,2001,Regular,Y,26,341.8076923076923,2.0
Dodge,Ram Van 1500 2WD,2001,Regular,Y,14,634.7857142857143,5.2
Ford,Escort ZX2,2002,Regular,Y,26,341.8076923076923,2.0
Land Rover,Freelander,2002,Premium,Y,17,522.7647058823529,2.5
BMW,X3 M40i,2018,Premium,Y,23,388.0,3.0
Mazda,Tribute 4WD,2003,Regular,Y,18,493.72222222222223,3.0
GMC,Envoy 2WD,2004,Regular,Y,16,555.4375,4.2
Volkswagen,Jetta Wagon,2005,Diesel,Y,32,318.125,1.9
GMC,Safari AWD (Passenger),2005,Regular,Y,14,634.7857142857143,4.3
Ford,Taurus,2006,Gasoline or E85,Y,20,444.35,3.0
Mazda,6,2007,Regular,Y,24,370.2916666666667,2.3
Volkswagen,GTI,2009,Premium,Y,25,355.48,2.0
Mazda,Protege,2000,Regular,Y,23,386.39130434782606,1.8
Pontiac,Firebird/Trans Am,2001,Premium,Y,19,467.7368421052632,5.7
Saturn,SL,2001,Regular,Y,26,341.8076923076923,1.9
Dodge,Dakota Pickup 2WD,2001,Regular,Y,20,444.35,2.5
Lincoln,Blackwood 2WD,2002,Premium,Y,13,683.6153846153846,5.4
Chevrolet,Tracker 4WD Hardtop,2002,Regular,Y,21,423.1904761904762,2.0
Ford,Focus,2003,Regular,Y,25,355.48,2.3
Mitsubishi,Lancer,2003,Regular,Y,26,341.8076923076923,2.0
Honda,Civic 5Dr,2022,Regular,Y,33,269.0,2.0
Honda,Accord,2010,Regular,Y,25,355.48,2.4
Kia,Sedona,2011,Regular,Y,21,423.1904761904762,3.5
Acura,RL,2011,Premium,Y,20,444.35,3.7
Chevrolet,Cruze,2013,Regular,Y,26,336.0,1.8
Subaru,Impreza AWD,2014,Regular,Y,30,300.0,2.0
Ford,Fiesta ST FWD,2015,Regular,Y,29,305.0,1.6
Toyota,4Runner 4WD,2015,Regular,Y,18,478.0,4.0
Nissan,Versa,2016,Regular,Y,34,262.0,1.6
Chevrolet,Camaro,2016,Premium,Y,24,370.0,2.0
Cadillac,Escalade 2WD,2003,Regular,Y,14,634.7857142857143,5.3
Jeep,Wrangler/TJ 4WD,2004,Regular,Y,17,522.7647058823529,2.4
Volkswagen,Jetta,2005,Premium,Y,22,403.95454545454544,1.8
Cadillac,SRX 2WD,2005,Regular,Y,17,522.7647058823529,3.6
Chevrolet,TrailBlazer Ext 4WD,2005,Regular,Y,15,592.4666666666667,5.3
MINI,Cooper S,2006,Premium,Y,24,370.2916666666667,1.6
Ford,Escape FWD,2007,Regular,Y,20,444.35,3.0
Audi,A4 quattro,2007,Premium,Y,22,403.95454545454544,2.0
Toyota,Tacoma 2WD,2007,Regular,Y,22,403.95454545454544,2.7
Suzuki,Forenza,2008,Regular,Y,22,403.95454545454544,2.0
Honda,Accord Coupe,2008,Regular,Y,25,355.48,2.4
Dodge,Charger,2008,Premium,Y,15,592.4666666666667,6.1
Subaru,Legacy AWD,2011,Regular,Y,25,355.48,2.5
Dodge,Journey AWD,2014,Regular,Y,19,470.0,3.6
Toyota,RAV4 2WD,2005,Regular,Y,23,386.39130434782606,2.4
Suzuki,SX4 AWD,2008,Regular,Y,23,386.39130434782606,2.0
Chevrolet,Traverse FWD,2018,Regular,Y,21,416.0,3.6
Chrysler,Pacifica,2020,Regular,Y,22,401.0,3.6
MINI,JCW Countryman All4,2014,Premium,Y,26,342.0,1.6
Ford,Taurus FWD,2015,Regular,Y,23,395.0,3.5
Infiniti,Q50,2015,Premium,Y,23,389.0,3.7
Nissan,Maxima,2016,Premium,Y,25,363.0,3.5
Chevrolet,Spark EV,2016,Electricity,Y,119,0.0,
Lincoln,Navigator 2WD,2004,Premium,Y,13,683.6153846153846,5.4
Ford,Taurus Wagon,2005,Regular,Y,19,467.7368421052632,3.0
Dodge,Magnum AWD,2005,Regular,Y,18,493.72222222222223,5.7
Subaru,Forester AWD,2005,Premium,Y,19,467.7368421052632,2.5
Ford,Focus Station Wagon,2007,Regular,Y,26,341.8076923076923,2.0
Lincoln,MKZ FWD,2007,Regular,Y,20,444.35,3.5
Volkswagen,Eos,2008,Premium,Y,24,370.2916666666667,2.0
Subaru,Tribeca AWD,2008,Regular,Y,18,493.72222222222223,3.6
Pontiac,G5/Pursuit,2008,Premium,Y,25,355.48,2.4
Audi,S5 Sportback,2023,Premium,Y,24,364.0,3.0
Hyundai,Veloster,2013,Regular,Y,27,317.0,1.6
Nissan,Sentra FE,2013,Regular,Y,33,267.0,1.8
Toyota,Tacoma 2WD,2014,Regular,Y,21,417.0,2.7
Chrysler,200,2015,Gasoline or E85,Y,27,326.0,2.4
Chrysler,Sebring Convertible,2000,Regular,Y,20,444.35,2.5
Jeep,Patriot 4WD,2010,Regular,Y,22,403.95454545454544,2.4
Toyota,Prius c,2012,Regular,Y,50,177.74,1.5
Subaru,XV Crosstrek AWD,2013,Regular,Y,25,349.0,2.0
Nissan,Juke AWD,2013,Premium,Y,27,332.0,1.6
Toyota,Tacoma 2WD,2006,Regular,Y,20,444.35,2.7
Chevrolet,Traverse FWD,2009,Regular,Y,19,467.7368421052632,3.6
Volvo,V70 XC AWD,2001,Premium,Y,18,493.72222222222223,2.4
Hyundai,Tucson Hybrid,2023,Regular,Y,37,245.0,1.6
Ford,Taurus FWD,2010,Regular,Y,22,403.95454545454544,3.5
Mazda,CX-9 2WD,2010,Regular,Y,18,493.72222222222223,3.7
GMC,Yukon 1500 2WD,2010,Gasoline or E85,Y,17,522.7647058823529,5.3
Ford,Mustang,2012,Regular,Y,22,403.95454545454544,3.7
Lexus,CT 200h,2012,Regular,Y,42,211.5952380952381,1.8
Chevrolet,SS,2014,Regular,Y,17,536.0,6.2
Ram,1500 4WD,2015,Midgrade,Y,17,527.0,5.7
Kia,Sedona,2016,Regular,Y,20,443.0,3.3
Chevrolet,Silverado 1500 2WD,2004,Regular,Y,16,555.4375,4.8
Toyota,Camry,2005,Regular,Y,21,423.1904761904762,3.3
Dodge,Ram 1500 Pickup 4WD,2002,Regular,Y,13,683.6153846153846,4.7
Nissan,Pathfinder 2WD,2000,Regular,Y,15,592.4666666666667,3.3
Nissan,Pathfinder 4WD,2002,Regular,Y,16,555.4375,3.5
Chevrolet,Camaro,2017,Regular,Y,20,442.0,3.6
Toyota,RAV4 LE/XLE,2017,Regular,Y,26,338.0,2.5
Honda,Odyssey,2019,Regular,Y,22,406.0,3.5
Mercedes-Benz,AMG GLS63,2019,Premium,Y,15,601.0,5.5
Kia,Sportage AWD,2020,Regular,Y,23,386.0,2.4
GMC,Terrain FWD,2020,Regular,Y,27,325.0,1.5
Toyota,Camry,2011,Regular,Y,26,341.8076923076923,2.5
Ford,F150 Pickup 4WD FFV,2011,Gasoline or E85,Y,16,555.4375,5.0
Hyundai,Sonata,2012,Regular,Y,26,341.8076923076923,2.0
GMC,Sierra K10 4WD,2019,Regular,Y,17,508.0,5.3
Infiniti,G37 Convertible,2009,Premium,Y,19,467.7368421052632,3.7
Honda,Ridgeline Truck 4WD,2011,Regular,Y,17,522.7647058823529,3.5
Dodge,Charger,2011,Gasoline or E85,Y,21,423.1904761904762,3.6
Honda,Accord,2012,Regular,Y,23,386.39130434782606,3.5
Toyota,Camry Hybrid LE,2012,Regular,Y,40,222.175,2.5
Chevrolet,Silverado C15 2WD,2013,Gasoline or E85,Y,17,520.0,5.3
Volkswagen,e-Golf,2015,Electricity,Y,116,0.0,
Chevrolet,Silverado K15 4WD,2016,Gasoline or E85,Y,18,496.0,5.3
Dodge,Caravan/Grand Caravan 2WD,2003,Gasoline or E85,Y,20,444.35,3.3
Audi,A4 quattro,2007,Premium,Y,23,386.39130434782606,2.0
Chevrolet,Cruze Premier,2017,Regular,Y,33,269.0,1.4
GMC,Terrain FWD,2018,Diesel,Y,32,319.0,1.6
Honda,Civic 2Dr,2018,Regular,Y,35,256.0,1.5
Toyota,RAV4 AWD,2023,Regular,Y,29,301.0,2.5
GMC,Yukon Denali 1500 AWD,2010,Gasoline or E85,Y,15,592.4666666666667,6.2
Ford,Expedition 4WD FFV,2010,Gasoline or E85,Y,14,634.7857142857143,5.4
Audi,S4,2012,Premium,Y,21,423.1904761904762,3.0
Mazda,3 DI 4-Door,2012,Regular,Y,30,296.23333333333335,2.0
Jeep,Compass 4WD,2013,Regular,Y,24,366.0,2.4
Dodge,Dart Aero,2014,Premium,Y,32,279.0,1.4
Lexus,ES 350,2015,Regular,Y,24,364.0,3.5
Acura,RSX,2005,Regular,Y,26,341.8076923076923,2.0
Nissan,Maxima,2005,Regular,Y,21,423.1904761904762,3.5
Porsche,Carrera 2 Coupe,2005,Premium,Y,19,467.7368421052632,3.6
Kia,Rio,2006,Regular,Y,29,306.44827586206895,1.6
Porsche,Boxster S,2002,Premium,Y,18,493.72222222222223,3.2
Jeep,Liberty 2WD,2002,Regular,Y,16,555.4375,3.7
Chrysler,Town and Country/Voyager/Grand Voy. 2WD,2002,Gasoline or E85,Y,18,493.72222222222223,3.3
BMW,530i,2003,Premium,Y,20,444.35,3.0
Toyota,Matrix,2003,Regular,Y,27,329.14814814814815,1.8
Ford,Mustang,2017,Regular,Y,24,370.0,2.3
Dodge,Caravan/Grand Caravan 2WD,2000,Regular,Y,19,467.7368421052632,3.0
Volkswagen,New Beetle,2001,Premium,Y,24,370.2916666666667,1.8
BMW,330i,2001,Premium,Y,21,423.1904761904762,3.0
Dodge,Ram 1500 Pickup 2WD,2003,Regular,Y,14,634.7857142857143,5.7
Kia,Sorento AWD,2019,Regular,Y,21,428.0,3.3
BMW,320i,2013,Premium,Y,28,324.0,2.0
Acura,NSX Hybrid,2021,Premium,Y,21,420.0,3.5
Toyota,Tacoma 4WD,2022,Regular,Y,20,448.0,3.5
Lincoln,MKX AWD,2010,Regular,Y,19,467.7368421052632,3.5
Mercedes-Benz,SL550,2011,Premium,Y,17,522.7647058823529,5.5
Ford,Flex FWD,2014,Regular,Y,20,437.0,3.5
Hyundai,Elantra,2014,Regular,Y,31,285.0,1.8
Land Rover,LR4,2015,Premium,Y,16,539.0,3.0
Toyota,RAV4 Limited AWD,2015,Regular,Y,24,362.0,2.5
Volvo,V70 FWD,2002,Premium,Y,21,423.1904761904762,2.4
Chevrolet,Tracker 2WD Hardtop,2002,Regular,Y,22,403.95454545454544,2.0
Chevrolet,Suburban 1500 4WD,2002,Gasoline or E85,Y,14,634.7857142857143,5.3
Volkswagen,Passat 4motion,2003,Premium,Y,19,467.7368421052632,2.8
Nissan,Murano AWD,2004,Regular,Y,20,444.35,3.5
Nissan,Altima,2005,Regular,Y,21,423.1904761904762,3.5
Pontiac,G5 XFE,2009,Regular,Y,30,296.23333333333335,2.2
Porsche,Boxster S,2000,Premium,Y,18,493.72222222222223,3.2
Chrysler,Town and Country/Voyager/Grand Voy. 2WD,2001,Gasoline or E85,Y,18,493.72222222222223,3.3
Chevrolet,S10 Pickup 2WD,2000,Regular,Y,23,386.39130434782606,2.2
Chevrolet,Prizm,2001,Regular,Y,27,329.14814814814815,1.8
Pontiac,Grand Am,2002,Regular,Y,21,423.1904761904762,3.4
BMW,525i,2003,Premium,Y,21,423.1904761904762,2.5
MINI,Cooper Convertible,2011,Premium,Y,30,296.23333333333335,1.6
Pontiac,Bonneville,2005,Regular,Y,18,493.72222222222223,4.6
Acura,TL,2006,Premium,Y,21,423.1904761904762,3.2
Toyota,RAV4 2WD,2006,Regular,Y,22,403.95454545454544,3.5
Chevrolet,Aveo 5,2009,Regular,Y,30,296.23333333333335,1.6
Ford,Focus Station Wagon,2000,Regular,Y,26,341.8076923076923,2.0
Suzuki,Vitara 2Door 4WD,2001,Regular,Y,23,386.39130434782606,1.6
Ford,Crown Victoria CNG,2002,CNG,Y,16,439.375,4.6
Pontiac,Vibe,2003,Regular,Y,28,317.39285714285717,1.8
Volvo,V70 FWD,2003,Premium,Y,20,444.35,2.4
Lincoln,MKZ Hybrid FWD,2017,Regular,Y,40,222.0,2.0
Lexus,GS 300/GS 430,2001,Premium,Y,18,493.72222222222223,4.3
Nissan,Frontier V6 2WD,2001,Premium,Y,15,592.4666666666667,3.3
Audi,A4 quattro,2019,Premium,Y,27,328.0,2.0
Jeep,Wrangler 4dr 4xe,2021,Regular Gas and Electricity,Y,20,230.0,2.0
Lexus,ES 350,2011,Regular,Y,22,403.95454545454544,3.5
Chrysler,200,2013,Regular,Y,23,383.0,2.4
Toyota,Highlander AWD,2014,Regular,Y,20,437.0,3.5
Ford,Fusion FWD,2012,Regular,Y,21,423.1904761904762,3.5
Honda,Odyssey,2016,Regular,Y,22,404.0,3.5
Volvo,S60 FWD,2019,Premium,Y,28,316.0,2.0
Chevrolet,Bolt EV,2019,Electricity,Y,119,0.0,
BMW,330i,2004,Premium,Y,21,423.1904761904762,3.0
Chevrolet,Silverado 1500 2WD,2005,Regular,Y,16,555.4375,5.3
Ford,Escape 4WD,2005,Regular,Y,18,493.72222222222223,2.3
BMW,335xi,2007,Premium,Y,20,444.35,3.0
Nissan,Titan 4WD,2008,Gasoline or E85,Y,14,634.7857142857143,5.6
Ford,F150 Pickup 4WD HEV,2021,Regular,Y,24,368.0,3.5
Mercedes-Benz,ML550 4matic,2011,Premium,Y,15,592.4666666666667,5.5
Honda,Element 4WD,2003,Regular,Y,20,444.35,2.4
Buick,Rendezvous AWD,2005,Regular,Y,18,493.72222222222223,3.4
Ford,Focus,2007,Regular,Y,26,341.8076923076923,2.0
Volvo,V70 FWD,2007,Premium,Y,22,403.95454545454544,2.4
Chrysler,Sebring,2008,Regular,Y,24,370.2916666666667,2.4
Mercedes-Benz,SLK350,2009,Premium,Y,21,423.1904761904762,3.5
Chevrolet,Aveo,2009,Regular,Y,30,296.23333333333335,1.6
GMC,Sierra K15 4WD,2010,Gasoline or E85,Y,15,592.4666666666667,4.8
Mercedes-Benz,C250,2012,Premium,Y,25,355.48,1.8
Volkswagen,Jetta,2014,Diesel,Y,32,318.0,2.0
Chevrolet,Volt,2014,Premium Gas or Electricity,Y,37,81.0,1.4
Chevrolet,TrailBlazer 4WD,2003,Regular,Y,15,592.4666666666667,4.2
Suzuki,Aerio SX AWD,2004,Regular,Y,23,386.39130434782606,2.3
BMW,Z4 Roadster,2005,Premium,Y,21,423.1904761904762,2.5
Lexus,RX 330 2WD,2005,Regular,Y,20,444.35,3.3
Pontiac,G6 GT/GTP Convertible,2007,Regular,Y,18,493.72222222222223,3.9
Porsche,Cayenne S,2008,Premium,Y,15,592.4666666666667,4.8
Chevrolet,HHR FWD,2008,Premium,Y,24,370.2916666666667,2.4
Pontiac,G3 Wave,2009,Regular,Y,28,317.39285714285717,1.6
Ford,Explorer 2WD,2009,Regular,Y,16,555.4375,4.0
Dodge,Dakota Pickup 4WD,2001,Regular,Y,14,634.7857142857143,3.9
Chevrolet,Silverado C15 Cab Chassis 2WD,2016,Regular,Y,17,525.0,5.3
Jeep,Commander 2WD,2006,Regular,Y,15,592.4666666666667,5.7
Dodge,Durango 4WD,2012,Midgrade,Y,15,592.4666666666667,5.7
Mitsubishi,Mirage,2000,Regular,Y,28,317.39285714285717,1.5
Audi,S4,2001,Premium,Y,18,493.72222222222223,2.7
Chevrolet,Tahoe 1500 2WD,2002,Gasoline or E85,Y,14,634.7857142857143,5.3
Saturn,Vue FWD,2004,Regular,Y,22,403.95454545454544,2.2
GMC,Envoy XUV 4WD,2005,Regular,Y,14,634.7857142857143,4.2
Audi,A4 quattro,2009,Premium,Y,20,444.35,3.2
Chevrolet,Impala,2009,Regular,Y,22,403.95454545454544,3.5
Audi,Q5,2018,Premium,Y,25,363.0,2.0
Ford,Escape AWD,2014,Regular,Y,25,356.0,1.6
BMW,328d xDrive Sports Wagon,2014,Diesel,Y,34,295.0,2.0
Jeep,Grand Cherokee 4WD,2003,Regular,Y,16,555.4375,4.0
Pontiac,Solstice,2008,Premium,Y,21,423.1904761904762,2.4
Audi,A3,2008,Premium,Y,24,370.2916666666667,2.0
Lexus,ES 350,2008,Premium,Y,22,403.95454545454544,3.5
Nissan,Rogue AWD,2023,Regular,Y,31,287.0,1.5
Chrysler,Pacifica Hybrid,2018,Regular Gas and Electricity,Y,32,106.0,3.6
Chrysler,300 AWD,2007,Regular,Y,18,493.72222222222223,5.7
Nissan,Frontier 4WD,2008,Regular,Y,17,522.7647058823529,4.0
Honda,Pilot 4WD,2013,Regular,Y,20,447.0,3.5
Ford,Mustang,2014,Regular,Y,19,473.0,5.0
Honda,HR-V 2WD,2016,Regular,Y,31,290.0,1.8
Volkswagen,Jetta,2004,Regular,Y,24,370.2916666666667,2.0
Cadillac,Escalade ESV AWD,2004,Regular,Y,13,683.6153846153846,6.0
Nissan,Sentra,2006,Regular,Y,27,329.14814814814815,1.8
MINI,Clubman,2008,Premium,Y,32,277.71875,1.6
Toyota,Tacoma 2WD,2009,Regular,Y,21,423.1904761904762,2.7
Volkswagen,New Beetle,2000,Premium,Y,22,403.95454545454544,1.8
